"Bat_species","Sex","fal","bm","r_Tmax_FAL","r_Tmin_FAL","r_SP_FAL","r_Tmax_BM","r_Tmin_BM","r_SP_BM","n","yi_s","vi","SPID","Variable"
"Barbastella barbastellus","female",39,9.5,0.078,-0.222,0.203,-0.051,-0.179,0.121,83,0.205859518592232,0.0125,"SP1","S. Precipitation"
"Eptesicus isabellinus","female",49,18.5,-0.416,0.083,0.276,-0.186,0.012,0.111,14,0.283347035759509,0.0909090909090909,"SP2","S. Precipitation"
"Eptesicus nilssonii","female",40.5,11,0.301,0.223,-0.212,-0.175,0.21,-0.174,9,-0.21526453838569,0.166666666666667,"SP3","S. Precipitation"
"Eptesicus serotinus","female",53,21.5,0.08,-0.407,-0.115,-0.05,-0.085,0.028,32,-0.115511019443145,0.0344827586206897,"SP4","S. Precipitation"
"Hypsugo savii","female",34.5,7,-0.06,-0.296,0.007,-0.243,-0.485,0.26,33,0.00700011433669485,0.0333333333333333,"SP5","S. Precipitation"
"Myotis alcathoe","female",32,4.5,-0.289,-0.114,0.053,-0.163,0.181,0.148,15,0.0530497094739486,0.0833333333333333,"SP6","S. Precipitation"
"Myotis bechsteinii","female",43,10.5,-0.384,-0.425,0.572,-0.162,-0.502,0.355,45,0.650490388703677,0.0238095238095238,"SP7","S. Precipitation"
"Myotis crypticus","female",39.3,8.5,0.004,-0.187,0.226,0.022,-0.085,0.084,22,0.229970121453215,0.0526315789473684,"SP8","S. Precipitation"
"Myotis emarginatus","female",40.4,13,-0.116,-0.017,-0.101,-0.226,-0.067,0.062,78,-0.10134555112553,0.0133333333333333,"SP9","S. Precipitation"
"Myotis escalerai","female",39.5,5.4,0.277,-0.071,-0.148,0.277,-0.284,-0.17,23,-0.149095025025098,0.05,"SP10","S. Precipitation"
"Myotis mystacinus","female",34,5.5,-0.147,0.132,-0.083,-0.203,0.023,0.008,92,-0.0831913873722629,0.0112359550561798,"SP11","S. Precipitation"
"Myotis nattereri","female",39,8.5,0.157,-0.498,0.258,-0.175,-0.376,0.239,70,0.263964597046503,0.0149253731343284,"SP12","S. Precipitation"
"Pipistrellus kuhlii","female",33.8,7.5,-0.122,-0.231,0.138,-0.22,-0.174,0.2,103,0.138886172011292,0.01,"SP13","S. Precipitation"
"Pipistrellus pipistrellus","female",30.5,5.75,-0.597,0.001,0.25,-0.368,-0.01,0.214,240,0.255412811882995,0.00421940928270042,"SP14","S. Precipitation"
"Plecotus auritus","female",39,7.5,0.052,-0.355,0.104,0.163,-0.272,0.016,98,0.104377406931055,0.0105263157894737,"SP15","S. Precipitation"
"Plecotus austriacus","female",40,8,0.044,-0.159,-0.096,0.178,-0.319,-0.052,60,-0.0962965535578922,0.0175438596491228,"SP16","S. Precipitation"
"Rhinolophus euryale","female",46,16,-0.828,-0.573,0.898,0.386,0.267,-0.291,10,1.4617915829428,0.142857142857143,"SP17","S. Precipitation"
"Rhinolophus ferrumequinum","female",58.4,23.5,-0.46,-0.454,0.382,-0.453,-0.505,0.393,39,0.402399273434962,0.0277777777777778,"SP18","S. Precipitation"
"Rhinolophus hipposideros","female",37,7,-0.005,0.098,0.21,-0.007,-0.047,-0.146,21,0.21317134656486,0.0555555555555556,"SP19","S. Precipitation"
